記録対戦数,記録段位,記録点数,和了率,放銃率,ツモ率,ダマ率,流局率,流局聴牌率,副露率,立直率,和了巡数,平均和了,平均放銃,平均順位,飛び率,立直和了,立直放銃A,立直放銃B,立直収支,立直収入,立直支出,先制率,追っかけ率,追っかけられ率,立直巡目,立直流局,一発率,振聴率,立直多面,立直良形,最高段位,最高点数,最大連荘,裏ドラ率,痛い親かぶり率,痛い親かぶり平均,放銃時立直率,放銃時副露率,副露後放銃率,副露後和了率,副露後流局率,打点効率,銃点損失,調整打点効率,局収支,総計局数,和了時立直率,和了時副露率,和了時ダマ率
259,豪2,1198/3200,0.2263,0.1603,0.3056,0.0226,0.10529999999999999,0.5485,0.3666,0.2361,12.414,6815,5736,2.486,0.08109999999999999,0.4526,0.1364,0.10980000000000001,2472,8049,7289,0.7704000000000001,0.2296,0.218,9.830,0.1348,0.1949,0.005,0.629,0.39270000000000005,豪2,1840/3200,4,0.3529,0.1017,11076,0.201,0.4142,0.18109999999999998,0.3119,0.09539999999999998,1542,920,623,31,2545,0.4722,0.5052697304463102,0.0226
140,豪1,294/2800,0.2335,0.1404,0.3654,0.0365,0.10779999999999999,0.48200000000000004,0.34600000000000003,0.23199999999999998,12.688,7229,6155,2.350,0.0929,0.5217,0.1472,0.09029999999999999,3092,8335,7470,0.8127,0.1873,0.23079999999999998,9.783,0.09699999999999999,0.19870000000000002,0.01,0.6890000000000001,0.4047,豪1,1747/2800,4,0.24359999999999998,0.09119999999999999,11000,0.24309999999999998,0.33149999999999996,0.13449999999999998,0.3004,0.1188,1688,864,824,232,1289,0.518348608137045,0.4451323340471092,0.0365
361,傑3,783/2000,0.21600000000000003,0.1709,0.3166,0.025699999999999997,0.1056,0.6132,0.39630000000000004,0.2262,12.535,6831,6079,2.590,0.10800000000000001,0.5061,0.1536,0.1057,2642,7820,7732,0.7813,0.2187,0.21989999999999998,9.669,0.1278,0.2112,0.0037,0.7345999999999999,0.3636,傑3,1158/2000,5,0.2718,0.12,10552,0.20329999999999998,0.4033,0.1739,0.2419,0.1185,1475,1039,436,-127,3598,0.5299991666666666,0.4438193055555555,0.025699999999999997
2022,傑3,789/2000,0.2094,0.17370000000000002,0.3274,0.0965,0.0987,0.5761,0.23629999999999998,0.2433,12.479,7622,5917,2.543,0.09789999999999999,0.4808,0.1475,0.1052,3089,8881,6770,0.7893000000000001,0.2107,0.2043,10.121,0.1184,0.22010000000000002,0.008199999999999999,0.6976,0.4086,豪1,2453/2800,6,0.2991,0.10550000000000001,10747,0.2066,0.2322,0.17059999999999997,0.3057,0.1052,1596,1028,569,-34,20039,0.5586372492836675,0.34497091690544407,0.0965
112,傑1,1079/1200,0.205,0.158,0.30829999999999996,0.0333,0.1161,0.4853,0.374,0.19039999999999999,11.972,6174,5884,2.696,0.09820000000000001,0.4888,0.14800000000000002,0.1211,2539,7708,7648,0.7981999999999999,0.2018,0.1973,9.549,0.139,0.22940000000000002,0.013500000000000002,0.5695,0.287,傑1,1088/1200,3,0.3119,0.1115,10852,0.1784,0.3892,0.16440000000000002,0.2808,0.0959,1265,930,336,-313,1171,0.4539879024390244,0.5122887804878049,0.0333
166,豪1,2490/2800,0.2023,0.1186,0.32289999999999996,0.1416,0.1117,0.34869999999999995,0.2607,0.17129999999999998,12.380,7160,5018,2.398,0.042199999999999994,0.5318,0.1472,0.10369999999999999,3673,8887,6109,0.7859999999999999,0.214,0.1973,10.103,0.107,0.2075,0.0167,0.7620999999999999,0.5588000000000001,豪1,2736/2800,4,0.3899,0.10400000000000001,10773,0.2126,0.30920000000000003,0.1407,0.3165,0.1099,1448,595,853,107,1745,0.45030815620365783,0.4078672763222936,0.1416
100,豪1,1245/2800,0.2445,0.1377,0.3224,0.0653,0.0958,0.5417000000000001,0.38520000000000004,0.2186,12.505,7062,6015,2.250,0.08,0.5525,0.1096,0.1005,3730,8426,7529,0.8173999999999999,0.1826,0.1918,9.739,0.1324,0.21489999999999998,0.0137,0.6575,0.4064,豪1,1730/2800,5,0.3554,0.1131,9760,0.1739,0.4203,0.1503,0.2798,0.0907,1727,828,898,283,1002,0.4939734151329243,0.44081374233128834,0.0653
455,豪1,749/2800,0.2446,0.1565,0.322,0.0131,0.0946,0.586,0.4617,0.2095,12.432,6388,6092,2.455,0.08789999999999999,0.4954,0.141,0.1073,2758,7977,7155,0.8018000000000001,0.19820000000000002,0.2217,9.649,0.1093,0.1918,0.013300000000000001,0.6772,0.3575,豪1,1857/2800,5,0.3423,0.1197,10204,0.1888,0.5021,0.17010000000000003,0.2981,0.095,1563,953,610,40,4672,0.42431030253475055,0.5626850776778413,0.0131
117,傑3,797/2000,0.2557,0.15460000000000002,0.3389,0.059800000000000006,0.08410000000000001,0.6263000000000001,0.4622,0.1631,12.349,6258,6171,2.487,0.0855,0.5781000000000001,0.09380000000000001,0.0833,3926,8359,8144,0.7813,0.2188,0.1771,9.483,0.099,0.2793,0.0104,0.7857,0.5188,豪1,1400/2800,3,0.2973,0.1042,10128,0.0989,0.489,0.1636,0.31620000000000004,0.0827,1600,954,646,104,1177,0.36874505279624564,0.5715590144700823,0.059800000000000006
307,豪1,637/2800,0.204,0.1222,0.2979,0.1244,0.11320000000000001,0.36579999999999996,0.3245,0.1609,12.121,6408,5254,2.515,0.09119999999999999,0.556,0.0809,0.0602,3652,7846,6133,0.8361,0.16390000000000002,0.23440000000000003,9.476,0.1017,0.2164,0.0083,0.8029000000000001,0.5394,豪1,2117/2800,6,0.3321,0.0964,10470,0.1066,0.3306,0.1245,0.2747,0.12240000000000001,1307,642,665,-9,2995,0.4385313725490197,0.4369615196078432,0.12439999999999998
